City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Ahmedabad,Makarba,Residential,11500000.0,Furnished,3,3.0,Individual,0,0,0,2,1715.0,Gujarat,Built-up Area
Ahmedabad,Makarba,Residential,6500000.0,Unfurnished,2,2.0,Connected,0,0,1,1,1050.0,Gujarat,Saleable Area
Ahmedabad,Ambli Road,Residential,72100000.0,Semi-Furnished,5,5.0,Connected,0,0,0,4,4083.0,Gujarat,Carpet Area
Ahmedabad,Shela,Residential,13000000.0,Unfurnished,5,5.0,Connected,0,0,1,4,3100.0,Gujarat,Built-up Area
Ahmedabad,Bodakdev,Residential,15000000.0,Furnished,5,4.0,Room-attached,0,0,0,1,1800.0,Gujarat,Built-up Area
Ahmedabad,Satellite,Residential,21600000.0,Semi-Furnished,3,3.0,Connected,0,0,0,2,2295.0,Gujarat,Built-up Area
Ahmedabad,Gota,Residential,9943000.0,Unfurnished,3,3.0,Connected,0,0,1,2,2050.0,Gujarat,Saleable Area
Ahmedabad,Bodakdev,Residential,24500000.0,Unfurnished,4,4.0,Connected,1,1,1,3,3492.0,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,20500000.0,Unfurnished,4,4.0,Connected,1,1,1,3,4130.0,Gujarat,Saleable Area
Ahmedabad,Shyamal,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,1,927.0,Gujarat,Built-up Area
Ahmedabad,Ellisbridge,Residential,23000000.0,Furnished,3,3.0,"Connected,Room-attached",0,0,0,3,2564.0,Gujarat,Saleable Area
Ahmedabad,South Bopal,Residential,7500000.0,Unfurnished,3,3.0,Connected,0,0,0,1,1700.0,Gujarat,Built-up Area
Ahmedabad,Shela,Residential,9000000.0,Furnished,3,3.0,Connected,0,0,0,2,786.0,Gujarat,Carpet Area
Ahmedabad,Kolat,Residential,25500000.0,Unfurnished,3,3.0,Connected,1,1,1,0,12060.0,Gujarat,Plot Area
Ahmedabad,Bopal,Residential,8000000.0,Semi-Furnished,3,3.0,Connected,0,0,0,2,790.0,Gujarat,Carpet Area
Ahmedabad,South Bopal,Residential,13000000.0,Unfurnished,3,4.0,Connected,1,1,1,2,893.0,Gujarat,Carpet Area
Ahmedabad,Wapa,Residential,9350000.0,Unfurnished,3,3.0,Connected,1,1,1,1,2200.0,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,7300000.0,Semi-Furnished,3,3.0,Connected,0,0,0,1,1436.0,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,13500000.0,Unfurnished,3,3.0,Connected,1,1,1,2,2740.0,Gujarat,Saleable Area
Ahmedabad,Memnagar,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,970.0,Gujarat,Built-up Area
Ahmedabad,Jagatpur,Residential,4500000.0,Unfurnished,2,2.0,Room-attached,0,0,0,2,5920.145,Gujarat,Carpet Area
Ahmedabad,Ahmedabad Cantonment,Commercial,0.0,Furnished,0,0.0,"Connected,Individual",0,0,0,7,1901.0,Gujarat,Built-up Area
Ahmedabad,Bopal,Residential,8800000.0,Furnished,3,3.0,Connected,0,0,0,2,1485.0,Gujarat,Built-up Area
Ahmedabad,Bodakdev,Commercial,0.0,Unfurnished,0,0.0,Connected,0,0,0,1,871.0,Gujarat,Built-up Area
Ahmedabad,Sindhubhavan,Commercial,0.0,Furnished,0,0.0,No Balcony,0,0,0,2,2524.0,Gujarat,Built-up Area
Ahmedabad,Vastral,Residential,3400000.0,Furnished,2,2.0,Connected,0,0,0,2,850.0,Gujarat,Built-up Area
Ahmedabad,Satellite,Residential,22500000.0,Furnished,3,3.0,"Connected,Room-attached",0,0,0,3,2100.0,Gujarat,Built-up Area
Ahmedabad,Ellisbridge,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,1,1950.0,Gujarat,Built-up Area
Ahmedabad,Naranpura,Residential,11500000.0,Unfurnished,3,3.0,Connected,1,0,1,1,2106.0,Gujarat,Carpet Area
Ahmedabad,Naroda,Residential,5000000.0,Furnished,2,2.0,Room-attached,0,0,0,1,1323.0,Gujarat,Built-up Area
Ahmedabad,Prahlad Nagar,Commercial,0.0,Furnished,0,0.0,No Balcony,0,0,0,8,1039.0,Gujarat,Built-up Area
Ahmedabad,Naranpura,Residential,8894000.0,Unfurnished,3,3.0,Connected,0,0,0,1,1815.0,Gujarat,Built-up Area
Ahmedabad,Shela,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,377.0,Gujarat,Built-up Area
Ahmedabad,Ahmedabad Cantonment,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,7,364.0,Gujarat,Built-up Area
Ahmedabad,Makarba,Commercial,0.0,Furnished,0,0.0,No Balcony,0,0,0,1,417.0,Gujarat,Built-up Area
Ahmedabad,Hathijan,Residential,3500000.0,Furnished,3,2.0,"Connected,Individual,Room-attached",0,0,0,0,1700.0,Gujarat,Built-up Area
Ahmedabad,Shilaj,Residential,27500000.0,Semi-Furnished,4,3.0,Individual,0,0,0,4,2098.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,867000.0,Unfurnished,3,3.0,Connected,0,0,1,0,1578.0,Gujarat,Plot Area
Ahmedabad,Shilaj,Residential,27500000.0,Semi-Furnished,4,2.0,Individual,0,0,0,4,2267.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,957000.0,Unfurnished,3,3.0,Connected,0,0,1,0,1741.0,Gujarat,Plot Area
Ahmedabad,Ahmedabad Cantonment,Residential,5200000.0,Unfurnished,2,2.0,Room-attached,0,0,1,2,1183.0,Gujarat,Built-up Area
Ahmedabad,Chandkheda,Residential,11000000.0,Furnished,3,3.0,Individual,0,0,0,2,2097.0,Gujarat,Built-up Area
Ahmedabad,South Bopal,Residential,7000000.0,Unfurnished,3,3.0,Individual,1,1,1,3,1750.0,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,7770000.0,Unfurnished,3,3.0,Connected,1,1,1,3,1850.0,Gujarat,Saleable Area
Ahmedabad,Vasna,Residential,8500000.0,Furnished,3,2.0,Connected,0,0,0,1,935.0,Gujarat,Carpet Area
Ahmedabad,Jagatpur,Residential,4000000.0,Unfurnished,1,2.0,Connected,0,0,0,1,900.0,Gujarat,Built-up Area
Ahmedabad,Shela,Residential,7000000.0,Unfurnished,3,3.0,Connected,0,0,0,1,1506.0,Gujarat,Built-up Area
Ahmedabad,Bopal,Residential,7350000.0,Unfurnished,3,3.0,Connected,1,1,1,2,1750.0,Gujarat,Saleable Area
Ahmedabad,Ghuma,Residential,7175000.0,Unfurnished,3,3.0,Room-attached,1,1,1,3,1750.0,Gujarat,Saleable Area
Ahmedabad,Nava Vadaj Road,Residential,18000000.0,Unfurnished,4,3.0,Individual,0,0,0,2,1503.0,Gujarat,Built-up Area
Ahmedabad,Bapunagar,Residential,7000000.0,Semi-Furnished,3,3.0,Room-attached,0,0,1,4,100.0,Gujarat,Built-up Area
Ahmedabad,South Bopal,Residential,7350000.0,Unfurnished,3,3.0,Room-attached,1,1,1,3,1750.0,Gujarat,Saleable Area
Ahmedabad,Shela,Residential,5800000.0,Unfurnished,3,2.0,Room-attached,0,1,1,1,648.0,Gujarat,Carpet Area
Ahmedabad,South Bopal,Residential,7350000.0,Unfurnished,3,1.0,Connected,1,1,1,3,1750.0,Gujarat,Saleable Area
Ahmedabad,Dhandhuka,Residential,500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,999.0,Gujarat,Plot Area
Ahmedabad,Shela,Residential,8400000.0,Furnished,3,3.0,Connected,0,0,0,2,1481.0,Gujarat,Built-up Area
Ahmedabad,Ranip,Residential,4300000.0,Furnished,2,2.0,Connected,0,0,0,2,1069.0,Gujarat,Saleable Area
Ahmedabad,Thaltej,Residential,40000000.0,Unfurnished,3,3.0,Connected,0,0,0,5,3600.0,Gujarat,Built-up Area
Ahmedabad,Vastrapur,Residential,4100000.0,Unfurnished,1,2.0,Connected,0,0,0,1,720.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,888000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1777.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,910000.0,Unfurnished,3,3.0,Connected,0,1,1,0,1260.0,Gujarat,Plot Area
Ahmedabad,Dhandhuka,Residential,710000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1421.0,Gujarat,Plot Area
Ahmedabad,Thaltej,Residential,41000000.0,Semi-Furnished,3,4.0,Connected,0,0,0,2,5200.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,2600000.0,Unfurnished,3,3.0,Connected,0,0,0,0,8550.0,Gujarat,Plot Area
Ahmedabad,Ambawadi,Commercial,0.0,Semi-Furnished,0,0.0,Individual,0,0,0,5,3000.0,Gujarat,Built-up Area
Ahmedabad,Shilaj,Residential,27500000.0,Semi-Furnished,4,3.0,Individual,0,0,0,5,2178.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,678000.0,Unfurnished,3,3.0,Connected,0,0,1,0,1233.0,Gujarat,Plot Area
Ahmedabad,Dhandhuka,Residential,509000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1019.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,2500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,8451.0,Gujarat,Plot Area
Ahmedabad,Maninagar,Residential,20000000.0,Unfurnished,4,4.0,Connected,0,0,0,3,1800.0,Gujarat,Built-up Area
Ahmedabad,Ambli,Residential,96000000.0,Unfurnished,5,5.0,Connected,0,0,0,3,8015.0,Gujarat,Built-up Area
Ahmedabad,Anand Nagar,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,879.0,Gujarat,Plot Area
Ahmedabad,Gurukul,Residential,8000000.0,Furnished,3,2.0,Connected,0,0,0,0,1087.0,Gujarat,Carpet Area
Ahmedabad,New Ranip,Residential,6200000.0,Semi-Furnished,2,2.0,Connected,0,0,0,2,1215.0,Gujarat,Built-up Area
Ahmedabad,Anand Nagar,Residential,10500000.0,Furnished,3,3.0,Room-attached,0,0,0,2,1350.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,555000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1111.0,Gujarat,Plot Area
Ahmedabad,South Bopal,Residential,8200000.0,Semi-Furnished,3,3.0,Connected,0,0,0,2,1000.0,Gujarat,Built-up Area
Ahmedabad,Anand Nagar,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,1231.0,Gujarat,Plot Area
Ahmedabad,Prahlad Nagar,Commercial,0.0,Furnished,0,0.0,No Balcony,0,0,0,5,6300.0,Gujarat,Built-up Area
Ahmedabad,New Ranip,Residential,4300000.0,Semi-Furnished,2,2.0,Room-attached,0,0,0,2,1062.0,Gujarat,Built-up Area
Ahmedabad,New Vadaj,Residential,12300000.0,Furnished,3,3.0,Room-attached,0,0,0,2,2000.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,2900000.0,Unfurnished,3,3.0,Connected,0,0,0,0,8955.0,Gujarat,Plot Area
Ahmedabad,Zundal,Residential,6800000.0,Unfurnished,3,3.0,Individual,0,0,1,2,850.0,Gujarat,Carpet Area
Ahmedabad,Shyamal,Residential,11000000.0,Furnished,3,3.0,Connected,0,0,0,2,1485.0,Gujarat,Built-up Area
Ahmedabad,Science City,Commercial,0.0,Furnished,0,0.0,No Balcony,0,0,0,2,745.0,Gujarat,Built-up Area
Ahmedabad,Dhandhuka,Residential,500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,970.0,Gujarat,Plot Area
Ahmedabad,Bodakdev,Residential,15000000.0,Furnished,3,3.0,Connected,0,0,0,2,2200.0,Gujarat,Built-up Area
Ahmedabad,Shilaj,Residential,27600000.0,Furnished,4,3.0,Connected,0,0,0,0,2260.0,Gujarat,Built-up Area
Ahmedabad,Gota,Residential,6500000.0,Furnished,2,2.0,Connected,0,0,0,1,1189.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,1990000.0,Unfurnished,3,3.0,Connected,1,0,1,0,2700.0,Gujarat,Plot Area
Ahmedabad,Nikol Kathwada,Residential,5999000.0,Unfurnished,3,3.0,Individual,0,0,0,2,1404.0,Gujarat,Built-up Area
Ahmedabad,South Bopal,Residential,9500000.0,Semi-Furnished,3,3.0,Room-attached,0,0,0,3,1800.0,Gujarat,Built-up Area
Ahmedabad,Bhadaj,Residential,77500000.0,Furnished,4,4.0,Connected,0,0,0,4,6876.0,Gujarat,Built-up Area
Ahmedabad,New Ranip,Residential,4700000.0,Furnished,2,2.0,Connected,0,0,0,0,1035.0,Gujarat,Built-up Area
Ahmedabad,Law Garden,Residential,25500000.0,Semi-Furnished,4,2.0,Connected,0,0,0,2,3525.0,Gujarat,Built-up Area
Ahmedabad,Ahmedabad Cantonment,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,957.0,Gujarat,Plot Area
Ahmedabad,Navrangpura,Residential,22500000.0,Unfurnished,4,4.0,Connected,0,0,0,2,2929.0,Gujarat,Built-up Area
Ahmedabad,Laxmanpura,Residential,374000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,428400.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,1419.0,Gujarat,Plot Area
Ahmedabad,Zundal,Residential,7175000.0,Unfurnished,3,3.0,Individual,1,0,1,2,1845.0,Gujarat,Built-up Area
Ahmedabad,Anand Nagar,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,1299.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,2500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,8640.0,Gujarat,Plot Area
Ahmedabad,Thaltej,Residential,42000000.0,Furnished,4,4.0,Connected,0,0,0,2,4200.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,1000.0,Gujarat,Plot Area
Ahmedabad,Shilaj,Residential,913700000.0,Unfurnished,3,3.0,Connected,0,0,0,0,96750.0,Gujarat,Plot Area
Ahmedabad,C G Road,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,7254.0,Gujarat,Plot Area
Ahmedabad,Manipur,Residential,912000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,891000.0,Gujarat,Plot Area
Ahmedabad,Satellite,Residential,652500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,40500.0,Gujarat,Plot Area
Ahmedabad,Gulbai Tekra,Residential,52500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,3600.0,Gujarat,Plot Area
Ahmedabad,Sanathal,Residential,105000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,15300.0,Gujarat,Plot Area
Ahmedabad,Bodakdev,Residential,65500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,6210.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,1242.0,Gujarat,Plot Area
Ahmedabad,Ramdev Nagar,Residential,25000000.0,Furnished,4,3.0,Connected,0,0,0,3,5000.0,Gujarat,Built-up Area
Ahmedabad,Dhandhuka,Residential,682000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1365.0,Gujarat,Plot Area
Ahmedabad,Gota,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,34200.0,Gujarat,Plot Area
Ahmedabad,Ambli Road,Residential,445000000.0,Furnished,4,4.0,Connected,0,0,0,5,18000.0,Gujarat,Carpet Area
Ahmedabad,Saraspur,Residential,3200000.0,Unfurnished,2,2.0,Individual,0,0,0,3,1150.0,Gujarat,Built-up Area
Ahmedabad,Ambli,Residential,27500000.0,Semi-Furnished,3,3.0,Connected,0,0,0,1,4500.0,Gujarat,Built-up Area
Ahmedabad,Shela,Residential,13600000.0,Unfurnished,4,4.0,Connected,0,0,0,5,3900.0,Gujarat,Built-up Area
Ahmedabad,Science City,Residential,51000000.0,Unfurnished,4,4.0,Connected,0,0,1,4,6669.0,Gujarat,Built-up Area
Ahmedabad,Ahmedabad Cantonment,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,949.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1290.0,Gujarat,Plot Area
Ahmedabad,Jagatpur,Residential,600000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,36000.0,Gujarat,Plot Area
Ahmedabad,Jagatpur,Residential,3300000.0,Unfurnished,1,1.0,Connected,0,0,0,2,630.0,Gujarat,Built-up Area
Ahmedabad,Bhavanpur,Residential,77000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,31500.0,Gujarat,Plot Area
Ahmedabad,Gota,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,27000.0,Gujarat,Plot Area
Ahmedabad,Bagodara,Residential,450000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,23256.0,Gujarat,Plot Area
Ahmedabad,S G Highway,Commercial,0.0,Furnished,0,0.0,No Balcony,0,0,0,2,1609.0,Gujarat,Built-up Area
Ahmedabad,Ambawadi,Residential,62500000.0,Furnished,6,6.0,Room-attached,0,0,0,6,3710.0,Gujarat,Built-up Area
Ahmedabad,Corporate Road,Residential,-2147483648.0,Unfurnished,3,3.0,Connected,0,0,0,0,64800.0,Gujarat,Plot Area
Ahmedabad,Dahegam,Residential,260000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,428400.0,Gujarat,Plot Area
Ahmedabad,Chandkheda,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,7470.0,Gujarat,Plot Area
Ahmedabad,Ognaj,Residential,-2147483648.0,Unfurnished,3,3.0,Connected,0,0,0,0,225000.0,Gujarat,Plot Area
Ahmedabad,Mithakhali,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,9450.0,Gujarat,Plot Area
Ahmedabad,Shela,Residential,-2147483648.0,Unfurnished,3,3.0,Connected,0,0,0,0,243000.0,Gujarat,Plot Area
Ahmedabad,Ambawadi,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,8604.0,Gujarat,Plot Area
Ahmedabad,Kolat,Residential,123400000.0,Unfurnished,3,3.0,Connected,0,0,0,0,51660.0,Gujarat,Plot Area
Ahmedabad,Prahlad Nagar,Residential,-2147483648.0,Unfurnished,3,3.0,Connected,0,0,0,0,64800.0,Gujarat,Plot Area
Ahmedabad,Palodia,Residential,550000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,90000.0,Gujarat,Plot Area
Ahmedabad,Ambli,Residential,500000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,22500.0,Gujarat,Plot Area
Ahmedabad,Mumatpura,Residential,500000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,22500.0,Gujarat,Plot Area
Ahmedabad,Bavla,Residential,-2147483648.0,Unfurnished,3,3.0,Connected,0,0,0,0,2313.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,981.0,Gujarat,Plot Area
Ahmedabad,Sindhubhavan,Residential,480000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,21600.0,Gujarat,Plot Area
Ahmedabad,Ambli Road,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,8145.0,Gujarat,Plot Area
Ahmedabad,New Ranip,Residential,17000000.0,Semi-Furnished,4,3.0,Connected,0,0,0,2,1800.0,Gujarat,Plot Area
Ahmedabad,Maninagar,Residential,1426600000.0,Unfurnished,3,3.0,Connected,0,0,0,0,72000.0,Gujarat,Plot Area
Ahmedabad,Science City,Residential,-2147483648.0,Unfurnished,3,3.0,Connected,0,0,0,0,141948.0,Gujarat,Plot Area
Ahmedabad,Tragad,Residential,4500000.0,Unfurnished,2,2.0,Connected,0,0,0,1,1089.0,Gujarat,Built-up Area
Ahmedabad,Meghani Nagar,Residential,7500000.0,Semi-Furnished,3,3.0,Individual,0,0,0,2,1000.0,Gujarat,Plot Area
Ahmedabad,Navrangpura,Residential,135000000.0,Unfurnished,6,3.0,Connected,0,0,0,6,18000.0,Gujarat,Built-up Area
Ahmedabad,Narolgam,Residential,3200000.0,Unfurnished,2,2.0,Individual,1,1,1,2,1080.0,Gujarat,Saleable Area
Ahmedabad,Motera,Residential,33500000.0,Furnished,3,3.0,Connected,0,0,0,2,1800.0,Gujarat,Built-up Area
Ahmedabad,Gota,Residential,3500000.0,Semi-Furnished,1,1.0,Connected,0,0,0,0,324.0,Gujarat,Built-up Area
Ahmedabad,Vasna,Residential,5800000.0,Furnished,3,3.0,Connected,0,0,0,1,675.0,Gujarat,Carpet Area
Ahmedabad,Odhav,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,180000.0,Gujarat,Plot Area
Ahmedabad,Khodiyar,Residential,7400000.0,Unfurnished,3,3.0,Room-attached,0,0,0,1,1460.0,Gujarat,Built-up Area
Ahmedabad,Chandkheda,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,2,170.0,Gujarat,Built-up Area
Ahmedabad,Ranip,Residential,2500000.0,Semi-Furnished,1,2.0,Connected,0,0,0,2,430.556,Gujarat,Carpet Area
Ahmedabad,Janta Nagar,Residential,4700000.0,Unfurnished,2,2.0,Individual,0,0,0,1,1008.0,Gujarat,Built-up Area
Ahmedabad,Narol,Residential,3500000.0,Unfurnished,2,2.0,Connected,0,0,0,4,1260.0,Gujarat,Built-up Area
Ahmedabad,Ghatlodia,Residential,4750000.0,Unfurnished,2,2.0,"Connected,Individual,Room-attached",0,0,0,2,1008.0,Gujarat,Built-up Area
Ahmedabad,Shela,Residential,7300000.0,Semi-Furnished,3,3.0,Connected,0,0,0,1,789.0,Gujarat,Carpet Area
Ahmedabad,Ambawadi,Residential,9000000.0,Furnished,3,2.0,Room-attached,0,0,0,1,1250.0,Gujarat,Built-up Area
Ahmedabad,Nasmed,Residential,27000000.0,Unfurnished,1,2.0,Connected,1,1,1,1,9180.0,Gujarat,Built-up Area
Ahmedabad,Chandkheda,Residential,6500000.0,Semi-Furnished,2,3.0,Individual,0,0,0,2,1350.0,Gujarat,Built-up Area
Ahmedabad,Ashram Road,Commercial,0.0,Unfurnished,0,0.0,Connected,1,0,0,2,2500.0,Gujarat,Built-up Area
Ahmedabad,Shela,Residential,159640643.0,Unfurnished,5,5.0,"Connected,Room-attached",0,0,0,5,8359.0,Gujarat,Built-up Area
Ahmedabad,Bodakdev,Residential,60000000.0,Unfurnished,4,4.0,Connected,0,0,0,3,5472.0,Gujarat,Built-up Area
Ahmedabad,Jagatpur,Residential,8500000.0,Unfurnished,3,3.0,Room-attached,0,0,0,1,1982.0,Gujarat,Built-up Area
Ahmedabad,Zundal,Residential,7700000.0,Furnished,3,3.0,Connected,0,0,0,3,1080.0,Gujarat,Carpet Area
Ahmedabad,Ramdevnagar,Residential,5500000.0,Unfurnished,2,2.0,Connected,0,0,1,1,1053.0,Gujarat,Built-up Area
Ahmedabad,Near Nirma University On Sg Highway,Residential,15000000.0,Unfurnished,4,4.0,Connected,0,0,0,2,4000.0,Gujarat,Saleable Area
Ahmedabad,Dholera,Residential,700000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1432.0,Gujarat,Plot Area
Ahmedabad,Adalaj,Residential,16000000.0,Unfurnished,4,4.0,Individual,1,0,1,2,5130.0,Gujarat,Built-up Area
Ahmedabad,Ambli Road,Residential,54000000.0,Unfurnished,5,5.0,Connected,0,0,0,2,6000.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,159640643.0,Unfurnished,3,3.0,Connected,0,0,0,0,1337.0,Gujarat,Plot Area
Ahmedabad,New Ranip,Residential,4700000.0,Furnished,2,2.0,Individual,0,0,0,2,1080.0,Gujarat,Saleable Area
Ahmedabad,Ramdevnagar,Residential,5500000.0,Unfurnished,2,2.0,Connected,0,0,0,1,1035.0,Gujarat,Built-up Area
Ahmedabad,New Ranip,Residential,4300000.0,Furnished,2,2.0,Connected,0,0,0,2,1115.0,Gujarat,Saleable Area
Ahmedabad,Shyamal,Commercial,0.0,Furnished,0,0.0,Connected,0,0,0,2,1871.0,Gujarat,Built-up Area
Ahmedabad,Motera,Residential,9400000.0,Unfurnished,3,3.0,Connected,1,1,1,2,894.0,Gujarat,Carpet Area
Ahmedabad,Gota,Commercial,0.0,Unfurnished,0,0.0,Connected,1,0,0,2,1178.0,Gujarat,Built-up Area
Ahmedabad,Dholera,Residential,1500000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1791.0,Gujarat,Plot Area
Ahmedabad,Nadoliya,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,3000.0,Gujarat,Plot Area
Ahmedabad,Navrangpura,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,11772.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,6600000.0,Unfurnished,3,3.0,Connected,0,0,0,0,10820.0,Gujarat,Plot Area
Ahmedabad,Thaltej,Commercial,0.0,Furnished,0,0.0,"Connected,Individual",0,0,0,4,2700.0,Gujarat,Built-up Area
Ahmedabad,Mandal,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,2000.0,Gujarat,Plot Area
Ahmedabad,Ashram Road,Commercial,0.0,Unfurnished,0,0.0,Connected,0,0,0,2,1200.0,Gujarat,Built-up Area
Ahmedabad,Naranpura,Residential,15500000.0,Unfurnished,3,3.0,Connected,0,0,0,1,2052.0,Gujarat,Saleable Area
Ahmedabad,Dholera,Residential,600000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1345.0,Gujarat,Plot Area
Ahmedabad,Ramdevnagar,Residential,5500000.0,Unfurnished,2,2.0,Connected,1,0,1,2,1080.0,Gujarat,Built-up Area
Ahmedabad,S G Highway,Residential,490000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,25200.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,9000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,10850.0,Gujarat,Plot Area
Ahmedabad,Dholera,Residential,1600000.0,Unfurnished,3,3.0,Connected,0,0,0,0,1881.0,Gujarat,Plot Area
Ahmedabad,Bopal,Residential,15500000.0,Semi-Furnished,3,3.0,Room-attached,0,0,0,2,2400.0,Gujarat,Saleable Area
Ahmedabad,Satellite,Residential,18000000.0,Furnished,3,3.0,Connected,0,0,0,3,2070.0,Gujarat,Built-up Area
Ahmedabad,Shahibaug,Residential,17100000.0,Furnished,3,3.0,Connected,0,0,0,1,1800.0,Gujarat,Carpet Area
Ahmedabad,Makarba,Residential,1452000000.0,Unfurnished,3,3.0,Connected,0,0,0,0,59400.0,Gujarat,Plot Area
Ahmedabad,Changodar,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,1,7000.0,Gujarat,Built-up Area
Ahmedabad,Memnagar,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,6750.0,Gujarat,Plot Area
Ahmedabad,Navrangpura,Commercial,0.0,Unfurnished,0,0.0,Connected,1,0,1,6,2500.0,Gujarat,Built-up Area
Ahmedabad,New Ranip,Residential,6500000.0,Unfurnished,2,2.0,Connected,0,0,0,1,1278.0,Gujarat,Plot Area
Ahmedabad,Chanakyapuri,Residential,5650000.0,Semi-Furnished,3,2.0,Connected,0,0,0,0,441.0,Gujarat,Built-up Area
Ahmedabad,Bopal,Residential,4158000.0,Unfurnished,2,3.0,Room-attached,1,1,1,2,1080.0,Gujarat,Saleable Area
Ahmedabad,Satellite,Commercial,0.0,Unfurnished,0,0.0,No Balcony,0,0,0,0,31500.0,Gujarat,Plot Area
